device,subject,browser,run,energy_joules,duration_ms,error_flag
nexus5x,gardeninglovy-com-noremovehints,chrome,1,14.212746384609794,8301,False
nexus5x,gardeninglovy-com-noremovehints,chrome,2,14.674242251150257,8180,False
nexus5x,gardeninglovy-com-noremovehints,chrome,3,14.403366245128359,7715,False
nexus5x,gardeninglovy-com-noremovehints,chrome,4,14.296477544481128,7452,False
nexus5x,gardeninglovy-com-noremovehints,chrome,5,14.558883824712346,7547,False
nexus5x,caribbean-beat-com-noremovehints,chrome,1,14.887484618380109,7503,False
nexus5x,caribbean-beat-com-noremovehints,chrome,2,16.308536480225435,7131,False
nexus5x,caribbean-beat-com-noremovehints,chrome,3,14.556997685447422,6802,False
nexus5x,caribbean-beat-com-noremovehints,chrome,4,15.55545466183177,7455,False
nexus5x,caribbean-beat-com-noremovehints,chrome,5,13.19677812101096,9221,False
nexus5x,tnscolaire-com-removehints,chrome,1,12.150950735742697,5304,False
nexus5x,tnscolaire-com-removehints,chrome,2,13.200606887532345,6524,False
nexus5x,tnscolaire-com-removehints,chrome,3,12.526349427420874,5321,False
nexus5x,tnscolaire-com-removehints,chrome,4,10.059859984054365,5748,False
nexus5x,tnscolaire-com-removehints,chrome,5,12.331359236148682,5317,False
nexus5x,crawleynews-co-uk-noremovehints,chrome,1,30.898388186796215,14862,False
nexus5x,crawleynews-co-uk-noremovehints,chrome,2,25.288904156170908,13386,False
nexus5x,crawleynews-co-uk-noremovehints,chrome,3,27.248715391771945,14035,False
nexus5x,crawleynews-co-uk-noremovehints,chrome,4,29.18935774055444,14247,False
nexus5x,crawleynews-co-uk-noremovehints,chrome,5,29.32017782427963,14560,False
nexus5x,variety-com-noremovehints,chrome,1,22.38645478727795,10704,False
nexus5x,variety-com-noremovehints,chrome,2,22.243374891732536,9233,False
nexus5x,variety-com-noremovehints,chrome,3,22.158475000145064,10505,False
nexus5x,variety-com-noremovehints,chrome,4,25.285813361419766,12129,False
nexus5x,variety-com-noremovehints,chrome,5,23.73232229556606,14853,False
nexus5x,home-pl-noremovehints,chrome,1,30.34324802924933,14417,False
nexus5x,home-pl-noremovehints,chrome,2,29.17439532997017,13267,False
nexus5x,home-pl-noremovehints,chrome,3,26.754089428247624,11217,False
nexus5x,home-pl-noremovehints,chrome,4,26.84419550980942,12222,False
nexus5x,home-pl-noremovehints,chrome,5,27.077243178498122,12913,False
nexus5x,opumo-net-removehints,chrome,1,12.270447955367205,6738,False
nexus5x,opumo-net-removehints,chrome,2,12.773738020785922,6841,False
nexus5x,opumo-net-removehints,chrome,3,11.158651762038907,7427,False
nexus5x,opumo-net-removehints,chrome,4,11.104841759463381,7383,False
nexus5x,opumo-net-removehints,chrome,5,13.084524873865268,6496,False
nexus5x,lululemon-com-removehints,chrome,1,34.640273599332716,13893,False
nexus5x,lululemon-com-removehints,chrome,2,33.420204162251665,12804,False
nexus5x,lululemon-com-removehints,chrome,3,35.82348325725836,14043,False
nexus5x,lululemon-com-removehints,chrome,4,31.89910854295977,11828,False
nexus5x,lululemon-com-removehints,chrome,5,34.83194295752562,12388,False
