run,device,subject,browser,plt
2,nexus5x,creativebloq-com-removehints,chrome,6249
1,nexus5x,thefreelancemovement-com-noremovehints,chrome,7824
2,nexus5x,thefreelancemovement-com-noremovehints,chrome,6417
1,nexus5x,timesofmalta-com-removehints,chrome,7576
1,nexus5x,caribbean-beat-com-removehints,chrome,6256
3,nexus5x,nationalreview-com-removehints,chrome,20582
3,nexus5x,express-co-uk-noremovehints,chrome,9294
2,nexus5x,writeawriting-com-removehints,chrome,7609
1,nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,13835
2,nexus5x,freeagent-com-noremovehints,chrome,6266
1,nexus5x,gardeninglovy-com-removehints,chrome,5443
1,nexus5x,opumo-net-removehints,chrome,4996
1,nexus5x,westernunion-com-removehints,chrome,9070
1,nexus5x,teleseryeonline-su-noremovehints,chrome,2023
2,nexus5x,lululemon-com-removehints,chrome,10813
2,nexus5x,marketwatch-com-noremovehints,chrome,9727
1,nexus5x,freeagent-com-removehints,chrome,4020
2,nexus5x,tnscolaire-com-removehints,chrome,4748
1,nexus5x,tnscolaire-com-noremovehints,chrome,3122
2,nexus5x,multimetertools-com-noremovehints,chrome,3958
1,nexus5x,axomjobs-in-noremovehints,chrome,4193
1,nexus5x,timesofmalta-com-noremovehints,chrome,15015
1,nexus5x,dell-com-noremovehints,chrome,6953
4,nexus5x,nationalreview-com-removehints,chrome,21932
1,nexus5x,stern-de-removehints,chrome,9047
1,nexus5x,nwsource-com-noremovehints,chrome,8715
1,nexus5x,ncaa-com-noremovehints,chrome,16811
1,nexus5x,lululemon-com-noremovehints,chrome,11622
1,nexus5x,westernunion-com-noremovehints,chrome,11598
1,nexus5x,berlinomagazine-com-removehints,chrome,7182
1,nexus5x,vivahr-com-noremovehints,chrome,2778
1,nexus5x,gettersiida-net-removehints,chrome,7711
2,nexus5x,tnscolaire-com-noremovehints,chrome,3158
1,nexus5x,dictionary-com-noremovehints,chrome,8390
2,nexus5x,lululemon-com-noremovehints,chrome,12518
2,nexus5x,skynewsarabia-com-noremovehints,chrome,11462
1,nexus5x,beautydea-it-removehints,chrome,6363
2,nexus5x,gardeninglovy-com-removehints,chrome,4879
1,nexus5x,foundationfairy-com-noremovehints,chrome,7005
1,nexus5x,jezebel-com-noremovehints,chrome,15071
2,nexus5x,vivahr-com-removehints,chrome,3227
1,nexus5x,writeawriting-com-noremovehints,chrome,6846
3,nexus5x,skynewsarabia-com-noremovehints,chrome,11625
2,nexus5x,opumo-net-removehints,chrome,5050
1,nexus5x,caribbean-beat-com-noremovehints,chrome,5911
2,nexus5x,stern-de-removehints,chrome,8714
2,nexus5x,iamvenezuela-com-noremovehints,chrome,9362
1,nexus5x,foundationfairy-com-removehints,chrome,5516
2,nexus5x,dictionary-com-noremovehints,chrome,7834
3,nexus5x,stern-de-removehints,chrome,9461
1,nexus5x,beautydea-it-noremovehints,chrome,6834
1,nexus5x,jezebel-com-removehints,chrome,13361
1,nexus5x,ecomputertips-com-noremovehints,chrome,6479
2,nexus5x,variety-com-noremovehints,chrome,7093
2,nexus5x,westernunion-com-noremovehints,chrome,10368
3,nexus5x,vivahr-com-removehints,chrome,2918
3,nexus5x,opumo-net-removehints,chrome,5337
2,nexus5x,teleseryeonline-su-noremovehints,chrome,1980
2,nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,18543
2,nexus5x,dictionary-com-removehints,chrome,7133
2,nexus5x,ecomputertips-com-noremovehints,chrome,5999
1,nexus5x,skynewsarabia-com-removehints,chrome,11234
1,nexus5x,nationalreview-com-noremovehints,chrome,21202
2,nexus5x,foundationfairy-com-removehints,chrome,5674
3,nexus5x,manchestereveningnews-co-uk-noremovehints,chrome,17391
2,nexus5x,beautydea-it-noremovehints,chrome,6751
2,nexus5x,tebasnan-com-noremovehints,chrome,4637
2,nexus5x,marketwatch-com-removehints,chrome,10923
2,nexus5x,timesofmalta-com-noremovehints,chrome,7943
1,nexus5x,stern-de-noremovehints,chrome,9377
2,nexus5x,therecipespk-com-removehints,chrome,3126
2,nexus5x,simplylakita-com-noremovehints,chrome,2956
2,nexus5x,opumo-net-noremovehints,chrome,8095
3,nexus5x,gardeninglovy-com-removehints,chrome,7571
2,nexus5x,jezebel-com-removehints,chrome,15704
3,nexus5x,thefreelancemovement-com-removehints,chrome,7104
