run,device,subject,browser,plt
1,nexus5x,musicgreatness-com-noremovepreload,chrome,6379
1,nexus5x,grantthornton-se-removepreload,chrome,2970
1,nexus5x,fastcodesign-com-removepreload,chrome,43238
2,nexus5x,infobunny-com-noremovepreload,chrome,8245
2,nexus5x,bensonbingham-com-removepreload,chrome,7801
2,nexus5x,fitchratings-ru-noremovepreload,chrome,9213
1,nexus5x,nbc-com-noremovepreload,chrome,18421
1,nexus5x,lisakristine-com-noremovepreload,chrome,11144
2,nexus5x,jisr-net-removepreload,chrome,7930
1,nexus5x,fitchratings-ru-removepreload,chrome,10733
2,nexus5x,animoto-com-removepreload,chrome,3291
2,nexus5x,coindesk-com-noremovepreload,chrome,10535
1,nexus5x,scmp-com-noremovepreload,chrome,55879
1,nexus5x,infobunny-com-removepreload,chrome,17008
1,nexus5x,unclesamsmisguidedchildren-com-removepreload,chrome,12136
3,nexus5x,musicgreatness-com-removepreload,chrome,6429
1,nexus5x,screenrant-com-noremovepreload,chrome,6907
3,nexus5x,animoto-com-removepreload,chrome,3176
3,nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,16716
3,nexus5x,coindesk-com-noremovepreload,chrome,10836
1,nexus5x,screenrant-com-removepreload,chrome,7316
1,nexus5x,noshift-com-removepreload,chrome,6892
2,nexus5x,newsbreak-com-removepreload,chrome,51350
3,nexus5x,berlinomagazine-com-noremovepreload,chrome,8652
3,nexus5x,unilad-co-uk-removepreload,chrome,16841
2,nexus5x,lisakristine-com-removepreload,chrome,10153
2,nexus5x,scmp-com-noremovepreload,chrome,55908
2,nexus5x,infobunny-com-removepreload,chrome,7697
3,nexus5x,infobunny-com-noremovepreload,chrome,16830
3,nexus5x,beegru-com-removepreload,chrome,11499
1,nexus5x,agriwebb-com-noremovepreload,chrome,30596
1,nexus5x,intercom-io-noremovepreload,chrome,6834
1,nexus5x,schmoozecom-com-removepreload,chrome,6318
2,nexus5x,jisr-net-noremovepreload,chrome,9797
2,nexus5x,africafreak-com-noremovepreload,chrome,6245
2,nexus5x,lisakristine-com-noremovepreload,chrome,10340
1,nexus5x,newsbreak-com-noremovepreload,chrome,6733
1,nexus5x,sportbible-com-removepreload,chrome,12898
1,nexus5x,beegru-com-noremovepreload,chrome,11383
1,nexus5x,grantthornton-se-noremovepreload,chrome,2631
1,nexus5x,bensonbingham-com-noremovepreload,chrome,7178
2,nexus5x,squareinternet-co-removepreload,chrome,5988
2,nexus5x,intercom-io-noremovepreload,chrome,6835
1,nexus5x,trustpilot-com-noremovepreload,chrome,7174
1,nexus5x,cbc-ca-removepreload,chrome,15234
3,nexus5x,sedanmed-ir-noremovepreload,chrome,6547
1,nexus5x,africafreak-com-removepreload,chrome,6201
2,nexus5x,cbc-ca-removepreload,chrome,15411
1,nexus5x,nbc-com-removepreload,chrome,20753
3,nexus5x,fitchratings-ru-noremovepreload,chrome,11283
1,nexus5x,affirm-com-removepreload,chrome,13040
3,nexus5x,trustpilot-com-removepreload,chrome,5811
1,nexus5x,unilad-co-uk-noremovepreload,chrome,17817
1,nexus5x,sportbible-com-noremovepreload,chrome,11565
2,nexus5x,affirm-com-removepreload,chrome,11855
1,nexus5x,ladbible-com-removepreload,chrome,19733
