device,subject,browser,run,energy_joules,duration_ms,error_flag
nexus5x,beegru-com-removepreload,chrome,4,34.036568199926684,12842,False
nexus5x,beegru-com-removepreload,chrome,5,33.63944601147914,13588,False
nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,1,19.453005969798994,10543,False
nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,2,21.616103703798853,13828,False
nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,3,26.844354059751506,18835,False
nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,4,18.104149688056093,10983,False
nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,5,25.531262199703082,17609,False
nexus5x,ladbible-com-noremovepreload,chrome,1,25.541721637233593,21083,False
nexus5x,ladbible-com-noremovepreload,chrome,2,23.747773314702854,15787,False
nexus5x,ladbible-com-noremovepreload,chrome,3,25.77893645997738,21256,False
nexus5x,ladbible-com-noremovepreload,chrome,4,21.81051898183947,16367,False
nexus5x,ladbible-com-noremovepreload,chrome,5,23.806147028345954,15505,False
nexus5x,nbc-com-removepreload,chrome,1,58.36313402994982,22830,False
nexus5x,nbc-com-removepreload,chrome,2,51.2144043813793,20960,False
nexus5x,nbc-com-removepreload,chrome,3,52.63227974396795,22632,False
nexus5x,nbc-com-removepreload,chrome,4,53.87020734873751,23831,False
nexus5x,nbc-com-removepreload,chrome,5,52.572778157977176,22422,False
nexus5x,g-talent-net-noremovepreload,chrome,1,42.399308583822354,21511,False
nexus5x,g-talent-net-noremovepreload,chrome,2,41.100216863248015,20385,False
nexus5x,g-talent-net-noremovepreload,chrome,3,43.883530856381924,22300,False
nexus5x,g-talent-net-noremovepreload,chrome,4,43.106586194249736,21225,False
nexus5x,g-talent-net-noremovepreload,chrome,5,38.62924049675097,20171,False
nexus5x,berlinomagazine-com-noremovepreload,chrome,1,17.954925306853916,9848,False
nexus5x,berlinomagazine-com-noremovepreload,chrome,2,18.237314471669055,10519,False
nexus5x,berlinomagazine-com-noremovepreload,chrome,3,14.67763672414079,10573,False
nexus5x,berlinomagazine-com-noremovepreload,chrome,4,18.745711958848226,11710,False
nexus5x,berlinomagazine-com-noremovepreload,chrome,5,17.735011189104497,10073,False
nexus5x,parsely-com-noremovepreload,chrome,1,23.088215820023542,11415,False
nexus5x,parsely-com-noremovepreload,chrome,2,19.91416798234071,9357,False
nexus5x,parsely-com-noremovepreload,chrome,3,20.833396341681137,11020,False
nexus5x,parsely-com-noremovepreload,chrome,4,22.33400794419175,10539,False
nexus5x,parsely-com-noremovepreload,chrome,5,21.382889748049628,11744,False
nexus5x,animoto-com-noremovepreload,chrome,1,14.150003050821221,5795,False
nexus5x,animoto-com-noremovepreload,chrome,2,11.32231280683876,5925,False
nexus5x,animoto-com-noremovepreload,chrome,3,14.498882527410283,5805,False
nexus5x,animoto-com-noremovepreload,chrome,4,13.580778076047958,5255,False
nexus5x,animoto-com-noremovepreload,chrome,5,13.28658993486446,5977,False
nexus5x,ladbible-com-removepreload,chrome,1,25.881465242133245,21506,False
nexus5x,ladbible-com-removepreload,chrome,2,23.707687610564562,15505,False
nexus5x,ladbible-com-removepreload,chrome,3,21.80828275480225,14273,False
nexus5x,ladbible-com-removepreload,chrome,4,22.962200656747537,14013,False
nexus5x,ladbible-com-removepreload,chrome,5,23.722632661216814,15977,False
nexus5x,newsbreak-com-noremovepreload,chrome,1,14.729082818511325,8346,False
nexus5x,newsbreak-com-noremovepreload,chrome,2,18.1027072775005,8861,False
nexus5x,newsbreak-com-noremovepreload,chrome,3,14.673010460362319,6921,False
nexus5x,newsbreak-com-noremovepreload,chrome,4,18.338513778791558,8457,False
nexus5x,newsbreak-com-noremovepreload,chrome,5,13.67721609248085,6616,False
nexus5x,lisakristine-com-removepreload,chrome,1,25.02891896418083,11107,False
nexus5x,lisakristine-com-removepreload,chrome,2,23.901188490574306,11812,False
nexus5x,lisakristine-com-removepreload,chrome,3,23.574688676380454,10886,False
nexus5x,lisakristine-com-removepreload,chrome,4,21.618253749040402,11421,False
nexus5x,lisakristine-com-removepreload,chrome,5,25.287775549618598,10664,False
nexus5x,intercom-io-removepreload,chrome,1,23.894886724703778,9866,False
nexus5x,intercom-io-removepreload,chrome,2,22.23199407170475,9081,False
nexus5x,intercom-io-removepreload,chrome,3,24.36657901879967,11641,False
nexus5x,intercom-io-removepreload,chrome,4,24.69621311282483,11315,False
nexus5x,intercom-io-removepreload,chrome,5,30.529568076367955,12148,False
nexus5x,sedanmed-ir-removepreload,chrome,1,16.17383767642138,8658,False
nexus5x,sedanmed-ir-removepreload,chrome,2,16.41553028023174,8563,False
nexus5x,sedanmed-ir-removepreload,chrome,3,14.832448545825558,10043,False
nexus5x,sedanmed-ir-removepreload,chrome,4,16.174996624322063,8606,False
nexus5x,sedanmed-ir-removepreload,chrome,5,18.284810550305867,10187,False
nexus5x,africafreak-com-removepreload,chrome,1,14.01172141718266,7845,False
nexus5x,africafreak-com-removepreload,chrome,2,14.472573412940797,7588,False
nexus5x,africafreak-com-removepreload,chrome,3,15.59927620211649,8034,False
nexus5x,africafreak-com-removepreload,chrome,4,13.179360157622352,9313,False
nexus5x,africafreak-com-removepreload,chrome,5,15.918159256690423,9200,False
nexus5x,jisr-net-removepreload,chrome,1,23.259573823528473,10847,False
nexus5x,jisr-net-removepreload,chrome,2,20.83759761779078,9607,False
nexus5x,jisr-net-removepreload,chrome,3,19.721928950385223,9030,False
nexus5x,jisr-net-removepreload,chrome,4,19.53388940119337,11378,False
nexus5x,jisr-net-removepreload,chrome,5,20.622399663660975,9225,False
nexus5x,berlinomagazine-com-removepreload,chrome,1,16.591612648793316,9723,False
nexus5x,berlinomagazine-com-removepreload,chrome,2,17.58347088845015,10220,False
nexus5x,berlinomagazine-com-removepreload,chrome,3,15.490515510587981,9709,False
nexus5x,berlinomagazine-com-removepreload,chrome,4,17.488909588142356,9259,False
nexus5x,berlinomagazine-com-removepreload,chrome,5,15.439484228980024,11600,False
nexus5x,musicgreatness-com-noremovepreload,chrome,1,17.260850350980284,8224,False
nexus5x,musicgreatness-com-noremovepreload,chrome,2,16.1341800301474,7242,False
nexus5x,musicgreatness-com-noremovepreload,chrome,3,16.67458001857598,8042,False
nexus5x,musicgreatness-com-noremovepreload,chrome,4,17.20279352071462,8273,False
nexus5x,musicgreatness-com-noremovepreload,chrome,5,17.174113406706457,7723,False
nexus5x,sportbible-com-removepreload,chrome,1,21.677873254851974,15079,False
nexus5x,sportbible-com-removepreload,chrome,2,25.875499648368876,21449,False
nexus5x,sportbible-com-removepreload,chrome,3,24.29192794755494,20407,False
nexus5x,sportbible-com-removepreload,chrome,4,23.903446451915332,14453,False
nexus5x,sportbible-com-removepreload,chrome,5,25.383472227282798,14708,False
nexus5x,ingenieriareal-com-removepreload,chrome,1,12.46922790739159,4866,False
nexus5x,ingenieriareal-com-removepreload,chrome,2,13.467870545100578,6279,False
nexus5x,ingenieriareal-com-removepreload,chrome,3,13.469110872640524,5818,False
nexus5x,ingenieriareal-com-removepreload,chrome,4,12.519706592312678,5494,False
nexus5x,ingenieriareal-com-removepreload,chrome,5,13.287624180642824,6706,False
nexus5x,fitchratings-ru-removepreload,chrome,1,24.418517093084635,12266,False
nexus5x,fitchratings-ru-removepreload,chrome,2,25.542688021532758,12125,False
nexus5x,fitchratings-ru-removepreload,chrome,3,26.40588344359859,12640,False
nexus5x,fitchratings-ru-removepreload,chrome,4,25.982425107953244,13071,False
nexus5x,fitchratings-ru-removepreload,chrome,5,26.113252083867085,12350,False
nexus5x,scmp-com-removepreload,chrome,1,103.29982242342213,55659,False
nexus5x,scmp-com-removepreload,chrome,2,107.32324189761908,57709,False
nexus5x,scmp-com-removepreload,chrome,3,109.62240270180853,58542,False
nexus5x,scmp-com-removepreload,chrome,4,107.7097837930442,58020,False
nexus5x,scmp-com-removepreload,chrome,5,106.30447522968684,59227,False
nexus5x,ict-moscow-removepreload,chrome,1,24.21306225091705,11285,False
nexus5x,ict-moscow-removepreload,chrome,2,50.104804898892866,44058,False
nexus5x,ict-moscow-removepreload,chrome,3,27.370179785711887,11152,False
nexus5x,ict-moscow-removepreload,chrome,4,27.38579492525155,13055,False
nexus5x,ict-moscow-removepreload,chrome,5,25.088825458407644,10576,False
nexus5x,cbc-ca-removepreload,chrome,1,40.90940357240597,17280,False
nexus5x,cbc-ca-removepreload,chrome,2,41.842154981133035,18392,False
